Blocks	BGs	Median Sales Price	Coef. Of Var.	Home- Owners	Sub. Renters	New Cons.	Poor cond.	Violations	Vacant lot Area	Foreclosure
A	76	$460,000	0.47	78%	3%	3.70%	0.10%	0.10%	0.40%	0.60%
B	113	$269,000	0.5	43%	4%	1.20%	0.30%	0.70%	0.40%	0.80%
C	185	$215,000	0.42	89%	1%	0.60%	0.10%	0.20%	1.30%	0.70%
D	100	$143,000	0.5	40%	4%	0.30%	0.50%	1.00%	1.00%	1.50%
E	196	$127,000	0.47	81%	3%	0.20%	0.50%	0.30%	3.00%	1.40%
F	24	$120,000	0.57	62%	76%	0.90%	1.50%	0.80%	2.80%	1.30%
G	190	$70,000	0.63	62%	10%	0.10%	1.10%	0.90%	3.00%	2.20%
H	122	$34,000	0.81	51%	19%	0.10%	2.40%	1.90%	3.40%	2.60%
I	30	$21,000	0.87	48%	80%	>0.1%	6.50%	2.50%	3.30%	2.40%
J	42	$14,000	0.94	44%	20%	>0.1%	6.50%	2.00%	2.60%	2.40%
Avg. BG		$154,000	0.57	65%	10%	0.60%	1.10%	0.80%	2.10%	1.50%